id	name	lyric	region	topic
20	扎风筝	星儿闪 月儿明  姑娘在房中扎风筝  祖辈相传的巧手艺  一代更比一代精  风筝要数天津卫  天津的风筝有名声有名声  风筝要数天津卫  天津的风筝有名声  姑娘巧手扎风筝  扎一群鸽子白生生  黑翅小燕儿蓝孔雀  大花蝴蝶红蜻蜓  再扎一个美猴王  火眼金晴真逗哏  扎风筝  再扎一个美猴王  火眼金晴真逗哏  星儿闪 月儿明  姑娘乘风筝入梦境  梦见小燕儿翩翩舞  梦见孔雀开彩屏  蜻蜓点水蝶穿花  猴王腾空驾彩云  看那风筝  白鸽捎上我的歌  飞遍天下传友情	河北	小调
21	放风筝	正啊月呀里呀啊来 正啊月呀正啊嗯哎哎嗨哟 兄妹二人喜盈盈 呦呦来在郊外放风筝 来在郊外放风筝 小妹妹放的是孙大圣 哥哥放的是猪悟能 蹲哒蹲哒起在空 蹲哒蹲哒起在空 你看那小妹妹 放的是孙悟空 一个劲的往上升 哥哥的猪八戒咘咘楞楞 呦呦咔巴一声断了风筝绳 噗咚一声摔个仰巴蹬	河北	小调
22	纺棉花	姐在房中纺棉花，手儿酸痛脚又麻， 纺出线儿长又长，管不住那薄情郎。 姐在房中纺棉花，只有匆忙没欢畅， 虽然棉花纺成纱，不见情郎在身旁。 棉纱制成衣裳，何处去给情郎， 寄不到你身旁，又何苦匆忙。 姐在房中纺棉花，只有匆忙没欢畅， 虽然棉花纺成纱，不见情郎在身旁。 姐在房中纺棉花，手儿酸痛脚又麻， 纺出线儿长又长，管不住那薄情郎。 姐在房中纺棉花，只有匆忙没欢畅， 虽然棉花纺成纱，不见情郎在身旁。	河北	小调
23	阳春三月打春杏	阳春三月杏树起 啊莫的儿依 啊莫的儿依儿哟 阳春三月杏树起 啊莫的儿依儿哟 我为那个哥哥 那个哥哥 打呀嘛打青杏 啊莫的儿依儿哟 青杏虽小味不酸 啊莫的儿依儿哟 妹妹那个栽树那个栽树 真呀嘛真不易 啊莫的儿依儿哟 春栽青杏夏遮阴 啊莫的儿依儿哟 树阴下那个等你 那个等你 到呀嘛到黄昏 啊莫的儿依儿哟 黄昏等你到天明 啊莫的儿依儿哟 树阴下那个等你 那个等你 到呀嘛到黄昏 啊莫的儿依儿哟 黄昏等你到天明 啊莫的儿依儿哟 一蓝子那个青杏那个青杏 全呀嘛全变红 啊莫的儿依儿哟 的儿..哟 的儿...哟 的儿哟 的儿哟 的儿哟 的儿哟 打 青 杏	河北	小调
24	画扇面	天津那个卫城西杨柳青，有一位女子名叫翠玲，从小小学到会画画，小佳人十九春，丈夫是南京读书人，(哎哟)月儿到了四月半中。四月里天立夏无寒风，小二姐高楼摆下龙阵，手拿扇面仔细看，高丽纸白生生，油漆盒子血点红，(哎哟)扇面以上无有了灰尘。八仙里桌儿摆当中，五色那颜料摆得现成，扇子放在桌面上，仔细想不消停，画出北京一座城，(哎哟)画在那扇面上显显手能。第一幅画出北京城，北京城来实在威风，画出北京宝殿城，画三宫和六院，三宫六院再画朝廷，(哎哟)文武丞相各在西东。二一幅画出俞伯牙，钟子期打柴不爱作官，白水滔滔何所惧，沉香子劈华山，吴汉杀妻在潼关，(哎哟)王祥卧冰救出了母亲。三一幅画出破洪州，杨宗宝搬兵回到了朝中，肖天佐摆下了天门阵，困住六郎杨延昭，来了元帅穆桂英，(哎哟)打败了番贼救出了公公。四一幅画出过雪山，雪山上遇寒曹家遭了难，从天上降了众大仙，张果老是神仙，搭救曹福升了天，(哎哟)哭坏了小姐曹玉莲。五一幅画出午端阳，辕门上斩子杨六郎，将宗宝绑在那杀场上，众家人着了慌，请出千岁佘娘娘，(哎哟)穆桂英倒跪在辕门上。六一幅画出赵州桥，四门那五关难画到头，画出赵州一座桥，赵州桥鲁班修，玉石柱子圣人留，(哎哟)张果老拉毛驴过桥夸口。七一幅画出长阪坡，好一个刘备要把长江过，周瑜点下了美人计，大张飞小赵云，怀抱太子是真龙，(哎哟)乱马营中显出了英雄。八一幅画出水晶宫，来了一位和尚他是唐僧，他去西天取真经，猪八戒小沙僧，还有开路的孙悟空，(哎哟)一路上遇到九妖十八洞。	天津	小调
25	青春舞曲	太阳下山明早依旧爬上来 花儿谢了明年还是一样开 美丽小鸟一去无影踪 我的青春小鸟一去不回来 我的青春小鸟一去不回来 别的那呀呦 别的那呀呦 我的青春小鸟一去不回来 啊 爬上来 花儿谢了 一样开 无悔的青春 不回来 一首老歌 唱起来 太阳下山明早依旧爬上来 花儿谢了明年还是一样开 美丽小鸟一去无影踪 我的青春小鸟一去不回来 我的青春小鸟一去不回来 太阳下山明早依旧爬上来 花儿谢了明年还是一样开 美丽小鸟一去无影踪 我的青春小鸟一去不回来 太阳下山明早依旧爬上来 花儿谢了明年还是一样开 别的那呀呦 别的那呀呦 我的青春小鸟一去不回来 别的那呀呦 别的那呀呦 我的青春小鸟一去 啊 不回来	新疆	小调
26	新疆好	我们新疆好地方啊， 天山南北好牧场。 戈壁沙滩变良田， 积雪溶化灌农庄。 戈壁沙滩变良田， 积雪溶化灌农庄。 来…… 我们美丽的田园， 我们可爱的家乡。 麦穗金黄稻花香啊， 风吹草低见牛羊。 葡萄瓜果甜又甜， 煤铁金银遍地藏。 葡萄瓜果甜又甜， 煤铁金银遍地藏。 来...... 我们美丽的田园， 我们可爱的家乡。 弹起你的东不拉呀， 跳起舞来唱起歌。 各族人民大团结， 歌颂领袖毛主席。 各族人民大团结， 歌颂领袖毛泽东。 来...... 我们美丽的田园， 我们可爱的家乡。 我们美丽的田园， 我们可爱的家乡。	新疆	小调
27	美丽的姑娘	美丽的姑娘见过万万千 独有你最可爱 你像冲出朝霞的太阳 无比的新鲜姑娘呀 你像鱼儿生活在自由的水晶宫姑娘呀 又像夜莺歌唱在青翠的林园姑娘呀   把你容貌比作鲜花 你比鲜花还耀艳 世上多少人呀想你 望得脖子酸姑娘呀 你像鱼儿生活在自由的水晶宫姑娘呀 又像夜莺歌唱在青翠的林园姑娘呀  你的舞姿轻盈妩媚好像天上的神仙 你那流星似的双眼能把海底穿姑娘呀 你像鱼儿生活在自由的水晶宫姑娘呀 又像夜莺歌唱在青翠的林园姑娘呀   话儿从你的嘴里吐出它就变得清甜 只有最吉祥的日子你才下凡姑娘呀 你像鱼儿生活在自由的水晶宫姑娘呀 又像夜莺歌唱在青翠的林园姑娘呀	新疆	小调
28	花儿为什么这样红	花儿为什么这样红 为什么这样红 哎 红得好像 红得好像燃烧的火 它象征着纯洁的友谊和爱情 花儿为什么这样鲜 为什么这样鲜 哎 鲜得使人 鲜得使人不忍离去 它是用了青春的血液来浇灌 花儿为什么这样红 为什么这样红 哎 红得好像 红得好像燃烧的火 它象征着纯洁的友谊和爱情 花儿为什么这样鲜 为什么这样鲜 哎 鲜得使人 鲜得使人不忍离去 它是用了青春的血液来浇灌	新疆	小调
29	玛依拉	人们都叫我玛依拉，诗人玛依拉， 　　牙齿白，声音好，歌手玛依拉， 　　高兴时唱上一首歌， 　　弹起冬不拉，冬不拉， 　　来往人们挤在我的屋檐底下。 　　玛依拉，玛依拉，啦啦啦啦，玛依拉，玛依拉。 　　啦啦啦啦。 我是瓦利姑娘名叫玛依拉， 　　白手巾四边上绣满了玫瑰花， 　　年轻的哈萨克人人羡慕我，羡慕我， 　　谁的歌声来和我比一下呀， 　　玛依拉，玛依拉，啦啦啦啦， 　　玛依拉，玛依拉，啦啦啦啦， 　　玛依拉，玛依拉，啦。	新疆	小调
